level,Avg time spent (minutes),Median time spent (minutes),Cumulative avg time spent (minutes),%User having more than one attempt,avg attempts,median attempts
167,1.365,1.0666666666666667,312.1236173801617,0.05,1.05,1
168,49.31666666666668,8.25,361.44028404682837,0.55,8.65,2
169,0.9750000000000003,0.5833333333333334,362.4152840468284,0,1,1
170,1.7333333333333336,1.55,364.14861738016174,0.1,1.2,1
171,1.0558333333333334,0.7166666666666667,365.2044507134951,0,1,1
172,2.2236842105263155,1.4166666666666667,367.4281349240214,0.15,1.15,1
173,1.3543859649122805,1.2166666666666666,368.7825208889337,0,1,1
174,4.476315789473684,3.283333333333333,373.25883667840736,0.10526315789473684,1.105263157894737,1
175,2.8891666666666667,2.4833333333333334,376.148003345074,0.2,1.25,1
176,0.7158333333333335,0.6,376.8638366784073,0,1,1
177,1.3258333333333334,0.9833333333333333,378.18967001174065,0,1,1
178,1.0083333333333333,0.8,379.19800334507397,0,1,1
179,1.1466666666666667,0.7833333333333333,380.3446700117406,0.05,1.05,1
180,0.5591666666666667,0.43333333333333335,380.9038366784073,0,1,1
181,1.663888888888889,1.3,382.5677255672962,0,1,1
182,2.1638888888888888,1.8333333333333333,384.73161445618507,0,1,1
183,0.9684210526315791,0.8166666666666667,385.70003550881665,0.05263157894736842,1.0526315789473684,1
184,2.0228070175438595,1.8166666666666667,387.7228425263605,0.15789473684210525,1.1578947368421053,1
185,2.0640350877192986,1.5166666666666666,389.7868776140798,0.10526315789473684,1.105263157894737,1
186,3.5692982456140356,2.35,393.35617585969385,0.15789473684210525,1.263157894736842,1
187,0.837037037037037,0.8166666666666667,394.19321289673087,0,1,1
188,4.247222222222223,2.8833333333333333,398.4404351189531,0.16666666666666666,1.3333333333333333,1
189,78.48529411764707,3.75,476.92572923660015,0.2777777777777778,8.555555555555555,1
190,2.4725490196078432,1.8166666666666667,479.398278256208,0.11764705882352941,1.2941176470588236,1
191,3.025,1,482.423278256208,0,1,1
192,1.384375,1.2166666666666666,483.80765325620797,0,1,1
193,1.3892156862745098,1.3166666666666667,485.19686894248247,0.058823529411764705,1.0588235294117647,1
194,2.5950980392156873,1.5666666666666667,487.7919669816982,0.058823529411764705,1.3529411764705883,1
195,1.972549019607843,1.6166666666666667,489.76451600130605,0,1,1
196,3.826470588235294,2.6166666666666667,493.59098658954133,0.29411764705882354,1.8235294117647058,1
197,1.6950980392156862,1.6666666666666667,495.286084628757,0,1,1
198,0.85,0.8666666666666667,496.13608462875703,0,1,1
199,4.761458333333333,1.3,500.89754296209037,0.0625,1.125,1
200,1.5450980392156863,1.1666666666666667,502.4426410013061,0.1111111111111111,1.2222222222222223,1
201,1.7911764705882351,1.45,504.2338174718943,0.05555555555555555,1.0555555555555556,1
202,1.523529411764706,1.45,505.757346883659,0.16666666666666666,1.1666666666666667,1
203,2.786458333333334,2.3666666666666667,508.5438052169923,0.11764705882352941,1.2352941176470589,1
204,0.7066666666666667,0.6833333333333333,509.250471883659,0,1,1
205,3.9500000000000006,1.1666666666666667,513.200471883659,0.0625,1.0625,1
206,1.49,1.3666666666666667,514.690471883659,0,1,1
207,4.91547619047619,2.4,519.6059480741352,0.06666666666666667,1.1333333333333333,1
208,3.671794871794872,2.8833333333333333,523.2777429459301,0.21428571428571427,1.2142857142857142,1
